description,category,subcategory
milk powder baby,needs,Food & Beverage
makan tengahari nasi campur,needs,Food & Beverage
bus fare rm10,needs,Transportation
ubat klinik,needs,Others
பால் (paal) lagi,needs,Food & Beverage
pay digi bill cheras,needs,Telecommunication
கார் கடன் (car loan),needs,Financial Services
gi jalan jalan  nline today,wants,Entertainment
concert ticekts,wants,Entertainment
bayar maxis,needs,Telecommunication
plumbin repair  pavilion,needs,Others
pay water bill jb,needs,Financial Services
makan shellout credit,wants,Food & Beverage
new gadgte,wants,Shopping
tiket flight urgent,wants,Others
steam gaes kl,wants,Entertainment
bil internet rm100,needs,Telecommunication
durian musang king,wants,Food & Beverage
starbucks coffee,wants,Food & Beverage
电话费 (diànhuà fèi)  online lagi,needs,Telecommunication
makan angin,wants,Others
hsopping sakan,wants,Shopping
kasut nike baru cheras for mom,wants,Shopping
சினிமா (cinema) penang,wants,Entertainment
netflix bill cheras,wants,Entertainment
reload tng ewallet,needs,Transportation
pekena nasi kandaq,wants,Food & Beverage
做SPA yesterday,wants,Others
klinik panel kl deposi,needs,Others
beli lauk,needs,Food & Beverage
genting highland trip shah alam,wants,Entertainment
pay ouse rent,needs,Financial Services
学费 (xuéfè),needs,Others
tapau nasi now,needs,Food & Beverage
gabfood delivery klang,wants,Food & Beverage
tukar taya kereta klang,needs,Transportation
beli midin  online,needs,Food & Beverage
pekena nasi kandaq lagi,wants,Food & Beverage
perg bercuti langkawi  online,wants,Others
nasi lemak biasa,needs,Food & Beverage
barang dapur basah cheras,needs,Food & Beverage
ps5 games rm50,wants,Shopping
maka kfc family,wants,Food & Beverage
home wifi bill,needs,Telecommunication
beli pampers anak,needs,Others
学费 (xuéfèi)  pavilion,needs,Others
电话费 (diànhuà fèi)  midvalley yesterday,needs,Telecommunication
change engine oil,needs,Transportation
topup touch n go  bangsar,needs,Transportation
parking ticket,needs,Transportation
minyak muto  kedai runcit,needs,Transportation
bubble tea craving kl,wants,Food & Beverage
tukar phone baru rm10,wants,Shopping
make nasik berlauk yesterday,needs,Food & Beverage
bayar api  kedai runcit lagi,needs,Financial Services
buy cooking oil  bangsar,needs,Food & Beverage
saur manis,needs,Food & Beverage
beli lauk,needs,Food & Beverage
langgan netflix tomorrow,wants,Entertainment
tudung duck,wants,Shopping
mkan tengahari nasi campur jb,needs,Food & Beverage
tiket bas rapid baru,needs,Transportation
sushi king for mom,wants,Food & Beverage
grab to work,needs,Transportation
genting highalnd trip,wants,Entertainment
மின்சாரம் (electric ill),needs,Financial Services
பால் (paal),needs,Food & Beverage
makan tengahari nasi campur,needs,Food & Beverage
tapau nasi,needs,Food & Beverage
sabun basuh baju,needs,Others
tiket sunway lagoon deposit,wants,Entertainment
minyak muto today,needs,Transportation
சோறு (soru),needs,Food & Beverage
tapau nasi,needs,Food & Beverage
beli baju raya,wants,Shopping
காய்கறி (kaaigari),needs,Food & Beverage
buy cooking oil today,needs,Food & Beverage
beli data yesterday,needs,Telecommunication
tengok wayang,wants,Entertainment
ngeteh mahal deposit,wants,Food & Beverage
付房租 (fù fángzū) urgent,needs,Financial Services
bil elektrik tnb,needs,Financial Services
buy groceries giant  kedai runcit urgent,needs,Food & Beverage
tudung duck penang urgent,wants,Shopping
shopping sogo,wants,Shopping
beli data klang,needs,Telecommunication
买手机 (buy phone),wants,Shopping
doctor visi,needs,Others
beg tangan coach,wants,Shopping
makan wagyu shah alam baru,wants,Food & Beverage
spotify subscription,wants,Entertainment
bayar duit kereta  bangsar,needs,Financial Services
chicken rice for lunch damansara,needs,Food & Beverage
milk powdr baby,needs,Food & Beverage
买药 (mǎi yào),needs,Others
grab to work,needs,Transportation
tambah nili tng damansara,needs,Transportation
bil air syabas,needs,Financial Services
isi minyak otor,needs,Transportation
change engine oil,needs,Transportation
tudung duck,wants,Shopping
klinik panel,needs,Others
去云顶 (genting,wants,Entertainment
hotle booking,wants,Others
school fees,needs,Others
充值 (top up),needs,Telecommunication
home decor rm100,wants,Others
beli baju ghalit,wants,Shopping
beli ubat demam,needs,Others
reload tng ewallet rm50,needs,Transportation
mekap watsons,wants,Shopping
yuran sekolah anak,needs,Others
grabfood delivery monthly,wants,Food & Beverage
bayar maxis,needs,Telecommunication
baksin robbins,wants,Food & Beverage
pizza hut delivery baru,wants,Food & Beverage
durian musang king,wants,Food & Beverage
topup umobile,needs,Telecommunication
stacyation,wants,Others
barang dapur basah  at mall tomorrow,needs,Food & Beverage
baskin robbins,wants,Food & Beverage
makan agin,wants,Food & Beverage
bayar bil celcom rm100,needs,Telecommunication
tukar tayar kereta,needs,Transportation
அரிசி (arisi) rm100,needs,Food & Beverage
give parents money  pavilion rm100,needs,Financial Services
pizza hut deliver,wants,Food & Beverage
bil elektrik tnb lagi,needs,Financial Services
喝星巴克 (starbucks) penang,wants,Food & Beverage
买菜 (mǎi cài)  pavilion rm50,needs,Food & Beverage
sushi king klang,wants,Food & Beverage
tengok wayang klng,wants,Entertainment
flight tickets  at mall,wants,Others
போன் பில் (phone bill)  at mall,needs,Telecommunication
bayar keta,needs,Financial Services
yuran tadika,needs,Others
beli pampers anak,needs,Others
网购 (online shopping)  at mall deposit,wants,Shopping
beli baju raya  pavilion rm50,wants,Shopping
பிரியாணி (briyani special) baru,wants,Food & Beverage
பள்ளி கட்டணம் (shool fee) jb tomorrow,needs,Others
காய்கறி (kaaigari,needs,Food & Beverage
topup touch n go kl,needs,Transportation
电话费 (diànhuà fèi) klang,needs,Telecommunication
topup touch n go,needs,Transportation
yuran sekolah anak,needs,Others
spa dan urut  bangsar,wants,Others
பஸ் கட்டணம் (bus fare),needs,Transportation
சுற்றுலா (tour),wants,Others
isi minyak kereta full shah alam,needs,Transportation
buy groceries gant,needs,Food & Beverage
topup umobile,needs,Telecommunication
gi jalan jalan,wants,Entertainment
sayur manis lagi,needs,Food & Beverage
学费 (xuéfèi) now,needs,Others
school fees,needs,Others
nangga wayang rm50,wants,Entertainment
durian musang king cheras lagi,wants,Food & Beverage
main bowling  pavilion,wants,Entertainment
yuran tadik,needs,Others
tengok wayang  kedai runcit,wants,Entertainment
电话费 (diànhuà fèi)  bangsar,needs,Telecommunication
beli baju ghalit,wants,Shopping
beli beras 10kg cheras,needs,Food & Beverage
pump petrol for mom,needs,Transportation
reload prepaid  pavilion,needs,Telecommunication
makan shellout  pavilion,wants,Food & Beverage
parking ticket jb,needs,Transportation
买菜 (mǎi cài),needs,Food & Beverage
car detailing for family,wants,Others
bread and eggs,needs,Food & Beverage
பர்கர் (urger) klang,wants,Food & Beverage
pekena nasi kadaq,wants,Food & Beverage
住酒店 (hotel) monthly,wants,Others
makan kfc faimly,wants,Food & Beverage
bil elektri tnb,needs,Financial Services
yuran tadika urgent,needs,Others
settle ptptn jb,needs,Financial Services
bayar ptpt today,needs,Financial Services
bayar duit kereta,needs,Financial Services
hotel booking,wants,Others
shopping skaan,wants,Shopping
yuran sekolah anak,needs,Others
喝星巴克 (starbucks),wants,Food & Beverage
flight tickets cheras,wants,Others
beli ubat demam cheras,needs,Others
bil unifi rumah,needs,Telecommunication
uniql haul,wants,Shopping
data reload  paviilon,needs,Telecommunication
மருத்துவர் (doctor) rm10,needs,Others
isi minyak keta  bangsar,needs,Transportation
buy groceries giant rm10,needs,Food & Beverage
handbag luxuyr  pavilion,wants,Shopping
barang dapur basah,needs,Food & Beverage
makan kfc family monthly,wants,Food & Beverage
சோறு (soru),needs,Food & Beverage
kredit telefo,needs,Telecommunication
买米 (mǎi mǐ) jb,needs,Food & Beverage
还车贷 (huán chēdài) baru,needs,Financial Services
பஸ் கட்டணம் (bus fare,needs,Transportation
tuition fees klang,needs,Others
ubat klinik klang,needs,Others
sayur pasar tani klang baru,needs,Food & Beverage
bil air syabas,needs,Financial Services
hiasan rumah damansara,wants,Others
beli sabun basuh urgen,needs,Others
spa package yesterday,wants,Others
付过路费 (tol),needs,Transportation
唱K (karaoke) today,wants,Entertainment
steam games penag,wants,Entertainment
yuran tadika penang,needs,Others
main bowling  at mall,wants,Entertainment
gym membership  pavilion for family,wants,Others
starbucks coffee cash,wants,Food & Beverage
tudung duck,wants,Shopping
steam games klang today,wants,Entertainment
hotel booking,wants,Others
staycation,wants,Others
plumbing repair credit,needs,Others
还车贷 (huá chēdài) yesterday,needs,Financial Services
ayar keta  midvalley,needs,Financial Services
bayar maxis,needs,Telecommunication
insurans nyawa lagi,needs,Financial Services
holiday bali,wants,Others
concert tcikets,wants,Entertainment
付电费 (fù diànfèi),needs,Financial Services
打油 (dǎ yóu),needs,Transportation
sushi king,wants,Food & Beverage
bil unifi rumah  pavilion urgent,needs,Telecommunication
data reload,needs,Telecommunication
topup pubg,wants,Entertainment
beli air boba  bangsar,wants,Food & Beverage
sayur pasa tani,needs,Food & Beverage
beli ubat deamm deposit,needs,Others
beli lauk,needs,Food & Beverage
beg tangan coach for mom,wants,Shopping
chicken rice for lunch,needs,Food & Beverage
pump petrol  kedai runcit,needs,Transportation
flight tickets  keda runcit rm100,wants,Others
beli baju raya,wants,Shopping
பள்ளி கட்டணம் (school fee),needs,Others
spa dan urut,wants,Others
kredit telefon,needs,Telecommunication
movie tickets,wants,Entertainment
basuh kerta polish,wants,Others
langgan netflix,wants,Entertainment
zakat fitrah klang,needs,Financial Services
toiletries klang,needs,Others
bayar maxis rm50,needs,Telecommunication
cukai pendapatan lhdn,needs,Financial Services
school fees credit,needs,Others
skincare haul,wants,Shopping
barang dapur basah,needs,Food & Beverage
data reload for family,needs,Telecommunication
bus fare,needs,Transportation
பள்ளி கட்டணம் (school fee),needs,Others
ubat gigi,needs,Others
ngeteh mahal deposit,wants,Food & Beverage
change engine oil cheras,needs,Transportation
காய்கறி (kaaigari) klang,needs,Food & Beverage
上网费 (shàngwǎng fèi),needs,Telecommunication
吃火锅 (hotpot) cheras,wants,Food & Beverage
hotel mahal cheras,wants,Others
fancy dinner yesterday,wants,Food & Beverage
parking ticket,needs,Transportation
修车 (repair car),needs,Transportation
去云顶 (genting) tomorrow,wants,Entertainment
spa package,wants,Others
看电影 (movie) cheras for famliy,wants,Entertainment
beli data yesterday,needs,Telecommunication
shopee 11.11 jb,wants,Shopping
chicken rice for lunch for mom,needs,Food & Beverage
tiket sunway lagoon rm10,wants,Entertainment
புதிய உடை (new dress) shah alam,wants,Shopping
இணையம் (internet)  pavilion for mom,needs,Telecommunication
buy medicine klang,needs,Others
beli diamond mlbb kl for mom,wants,Entertainment
isi minyak keta,needs,Transportation
tudung duck,wants,Shopping
new sneakers  kedai runcit,wants,Shopping
学费 (xuéfèi)  pavilion,needs,Others
main bowling for mom,wants,Entertainment
maggi mee pack,needs,Food & Beverage
servis aircond  pavilion,needs,Others
topup umobile  pavilion,needs,Telecommunication
tambang lrt,needs,Transportation
அரிசி (arisi,needs,Food & Beverage
doctor visit cheras,needs,Others
makan shellout,wants,Food & Beverage
change engine oil,needs,Transportation
ngeteh mahal,wants,Food & Beverage
mekap watsons jb,wants,Shopping
tudung duck,wants,Shopping
住酒店 (hotel),wants,Others
shopping sogo yesterday,wants,Shopping
கார் பழுது (car repair),needs,Transportation
bayar api,needs,Financial Services
tabah nilai tng,needs,Transportation
上网费 (shàngwǎng fèi),needs,Telecommunication
chicken rice for lunch,needs,Food & Beverage
上网费 (shàngwǎng fèi) deposit,needs,Telecommunication
lrt ticket monthly,needs,Transportation
beli ubat edmam urgent,needs,Others
insuran nyawa,needs,Financial Services
hotel booking  midvalley,wants,Others
servi aircond rm50,needs,Others
pergi bercuti langkawi,wants,Others
hiasan rumah shah alam,wants,Others
barang dapur basah  pavilion,needs,Food & Beverage
maan wagyu,wants,Food & Beverage
yura tadika,needs,Others
喝星巴克 (starbucks),wants,Food & Beverage
flight tickets  at mall,wants,Others
பள்ளி கட்டணம் (school fee),needs,Others
kasut nike baru,wants,Shopping
கார் பழுது (car repair),needs,Transportation
beli diamond mlbb damansara,wants,Entertainment
isi minyak kereta full,needs,Transportation
asyur manis,needs,Food & Beverage
gym membership,wants,Others
netflix premium,wants,Entertainment
buy medicine kl,needs,Others
bayar ptptn,needs,Financial Services
去旅行 (travel)  pavilion,wants,Others
buy medicine rm100,needs,Others
chicken rice for lunch,needs,Food & Beverage
போன் பில் (phone bill)  midvalley for mom,needs,Telecommunication
give parents money tomorrow,needs,Financial Services
pay car loan,needs,Financial Services
学费 (xuéfèi),needs,Others
servis kereta,needs,Transportation
mbayra aek,needs,Financial Services
喝星巴克 (starbucks),wants,Food & Beverage
cukai pendapatan lhdn,needs,Financial Services
mobile data plan,needs,Telecommunication
durian musang king,wants,Food & Beverage
main bowling  abngsar,wants,Entertainment
买新衣服 (new clothes),wants,Shopping
nambang bas klang,needs,Transportation
renew roadtax credit,needs,Financial Services
போன் பில் (phone bil),needs,Telecommunication
bayar ptptn  midvalley rm10,needs,Financial Services
கார் பழுது (car repair),needs,Transportation
holiday trip,wants,Others
tapau nasi,needs,Food & Beverage
还车贷 (huán chēdài) penang,needs,Financial Services
shopping mall kl rm50,wants,Shopping
shopping sogo urgent,wants,Shopping
போன் பில் (phone bill,needs,Telecommunication
kredit telefon tomorrow,needs,Telecommunication
spa package today,wants,Others
shopping mall deposit,wants,Shopping
காய்கறி (kaaigari),needs,Food & Beverage
korean bbq,wants,Food & Beverage
杂饭 (záfàn)  bangsar,needs,Food & Beverage
fancy dinner,wants,Food & Beverage
tamba nilai tng,needs,Transportation
இணையம் (internet) rm10,needs,Telecommunication
handbag luxury,wants,Shopping
concert tickets rm100,wants,Entertainment
yuran sekolah anak  pavilion cash,needs,Others
tiket sunway lagoon,wants,Entertainment
main game kl,wants,Entertainment
买奶茶 (boba),wants,Food & Beverage
shopping sogo,wants,Shopping
durian musang king  bangsar,wants,Food & Beverage
beli sabun basuh,needs,Others
修车 (repair car),needs,Transportation
ubat gigi damanara,needs,Others
beli air boba,wants,Food & Beverage
barang dapur asah today,needs,Food & Beverage
tambang lrt urgent,needs,Transportation
tengok waang,wants,Entertainment
yuran tadika,needs,Others
கார் கடன் (car loan) baru,needs,Financial Services
beg tangan coach,wants,Shopping
zakat fitrah credit,needs,Financial Services
gi pusing pusing,wants,Others
buy cookin oil jb,needs,Food & Beverage
beli beras 10kg jb,needs,Food & Beverage
tukar tayar kereta,needs,Transportation
bayar api,needs,Financial Services
langgan netflix,wants,Entertainment
buy groceries giant jb monthly,needs,Food & Beverage
ubat gigi,needs,Others
grabfood delivery for family,wants,Food & Beverage
lunch economy rice,needs,Food & Beverage
shpoping sogo,wants,Shopping
pizza hut delivery,wants,Food & Beverage
minak muto damansara tomorrow,needs,Transportation
basuh kereta polish,wants,Others
make nasik berlau,needs,Food & Beverage
sayur pasar tani  pavilion deposit,needs,Food & Beverage
bil intenet,needs,Telecommunication
entflix bill,wants,Entertainment
pergi bercuti langkawi damansara,wants,Others
வீட்டு வாடகை (veettu vaadagai) monthly,needs,Financial Services
bayar maxis,needs,Telecommunication
nangga wayang kl rm50,wants,Entertainment
பால் (paal) kl,needs,Food & Beverage
beli air boba  bangsar,wants,Food & Beverage
hotel mahal,wants,Others
tiket flight jb,wants,Others
tambang lrt deposit,needs,Transportation
வீட்டு வாடகை (veettu vaadagai),needs,Financial Services
mbayar aek,needs,Financial Services
beg tangan coac,wants,Shopping
nasi lemak biasa,needs,Food & Beverage
minyak masak paket,needs,Food & Beverage
karaoke night jb,wants,Entertainment
bil unifi rumah for mom,needs,Telecommunication
bayar ptptn,needs,Financial Services
பீஸ்ஸ (pizza) kl,wants,Food & Beverage
give parents mone,needs,Financial Services
topup touch n go  bangsar,needs,Transportation
beli baju raya cash,wants,Shopping
zakat fitrah,needs,Financial Services
சோறு (soru,needs,Food & Beverage
give parents money,needs,Financial Services
做SPA,wants,Others
insurans nyawa damansara,needs,Financial Services
toiletries damansara for famil,needs,Others
吃火锅 (hotpot),wants,Food & Beverage
byar sewa rumah,needs,Financial Services
doctor visit baru,needs,Others
bread and eggs cash,needs,Food & Beverage
korean bbq,wants,Food & Beverage
买新衣服 (new cltohes) credit,wants,Shopping
makan shellout,wants,Food & Beverage
buy cooking oil cash,needs,Food & Beverage
ubat gigi,needs,Others
bubble tea craving,wants,Food & Beverage
home decor,wants,Others
买米 (mǎi mǐ),needs,Food & Beverage
充值 (top up),needs,Telecommunication
home decor urgent,wants,Others
பீஸ்ஸா (pizza) for famiyl,wants,Food & Beverage
lunhc economy rice,needs,Food & Beverage
makan kfc family monthly,wants,Food & Beverage
spa dan urut,wants,Others
bil elektrik tnb penang,needs,Financial Services
bayar duit kereta,needs,Financial Services
reload tng ewallet,needs,Transportation
nangga wayang klang rm100,wants,Entertainment
buy cooking oil,needs,Food & Beverage
beli data,needs,Telecommunication
main bolwing,wants,Entertainment
grabfood delivey  kedai runcit rm100,wants,Food & Beverage
kredit telefon,needs,Telecommunication
grab to work penang rm100,needs,Transportation
holiday bali,wants,Others
lrt ticket monthly,needs,Transportation
住酒店 (hotel)  online rm50,wants,Others
buy groceries giant,needs,Food & Beverage
bayar sewa ghugi,needs,Financial Services
பள்ளி கட்டணம் (school fee) penan,needs,Others
beli data,needs,Telecommunication
minum starbucks,wants,Food & Beverage
klniik panel,needs,Others
data reload,needs,Telecommunication
reload tng ewallet baru,needs,Transportation
beli ayam seekor penang,needs,Food & Beverage
காய்கறி (kaaigari),needs,Food & Beverage
chicken rice for lunch kl,needs,Food & Beverage
concert tickets rm10,wants,Entertainment
starbucks coffee  midvalley rm100,wants,Food & Beverage
beli ubat demam shah alam today,needs,Others
去旅行 (rtavel),wants,Others
main bowling  kedai runcit,wants,Entertainment
spa package,wants,Others
minyak masak paket,needs,Food & Beverage
pay water bill penang,needs,Financial Services
நகை (jewellery) shah alam lagi,wants,Shopping
tukar phone baru,wants,Shopping
buy cooking oil  midvalley,needs,Food & Beverage
hotel mahal  online monthly,wants,Others
மருத்துவர் (doctor),needs,Others
sayur manis,needs,Food & Beverage
home wifi bill baru,needs,Telecommunication
pump petrol,needs,Transportation
steam games,wants,Entertainment
kek secret recipe  midvalley,wants,Food & Beverage
付房租 (fù fángzū)  kedai runcit yesterday,needs,Financial Services
bubble tea craving,wants,Food & Beverage
付电费 (fù diànfèi) lagi,needs,Financial Services
makan wagyu,wants,Food & Beverage
topup hotlink cheras,needs,Telecommunication
toiletries jb,needs,Others
打油 (dǎ yóu),needs,Transportation
nangga wayang  midvalley rm100,wants,Entertainment
handbag luxury,wants,Shopping
data reload,needs,Telecommunication
bil uinfi rumah,needs,Telecommunication
இணையம் (internet) for family,needs,Telecommunication
bayar keta  midvalley,needs,Financial Services
skincare haul,wants,Shopping
servis kereta,needs,Transportation
付电费 (fù diànfèi),needs,Financial Services
lrt ticket monthly  bangsar,needs,Transportation
bayar sewa rumah,needs,Financial Services
spa dan urut,wants,Others
tambah nilai tng credit,needs,Transportation
spotify subscription deposit,wants,Entertainment
insurans nyawa shah alam,needs,Financial Services
மின்சாரம் (electric bill) rm100,needs,Financial Services
mbayar aek  kedai runci,needs,Financial Services
ubat klinik,needs,Others
insurans nyawa damansara baru,needs,Financial Services
唱K (karaoke) deposit,wants,Entertainment
sabun basuh baju damansara,needs,Others
starbucks coffee,wants,Food & Beverage
சினிமா (cinema),wants,Entertainment
付房租 (fù fángzū) for mom,needs,Financial Services
tambang lrt jb,needs,Transportation
修车 (repair car),needs,Transportation
மின்சாரம் (electri bill) baru,needs,Financial Services
bread and eggs,needs,Food & Beverage
give parents money,needs,Financial Services
skincare haul,wants,Shopping
makan anign  bangsar,wants,Food & Beverage
bayar api,needs,Financial Services
做SPA  midvalley credit,wants,Others
handbag luxury credit,wants,Shopping
baskin robbins penang,wants,Food & Beverage
bayar sewa rumah jb,needs,Financial Services
tiket flight,wants,Others
pergi bercuti langkawi,wants,Others
basuh kereta polihs,wants,Others
grab to work deposit,needs,Transportation
minyak masak paket klang lagi,needs,Food & Beverage
tudung duck,wants,Shopping
pizza hut delivery,wants,Food & Beverage
充值Touch n Go,needs,Transportation
beli sbun basuh,needs,Others
充值 (top up) klang,needs,Telecommunication
ps5 games,wants,Shopping
电话费 (diànhuà fèi) shah alam,needs,Telecommunication
பீஸ்ஸா (pizza) shah alam,wants,Food & Beverage
வீட்டு வாடகை (veettu vaadagai) now,needs,Financial Services
holiday trip shah alam rm100,wants,Others
topup otlink  midvalley deposit,needs,Telecommunication
tiket konsert,wants,Entertainment
hiasan rumah lagi,wants,Others
minyak masak paket,needs,Food & Beverage
上网费 (shàngwǎng fèi),needs,Telecommunication
isi minyak kereta full cash,needs,Transportation
இணையம (internet),needs,Telecommunication
beli ubat demam  pavilion cash,needs,Others
skincare haul chera,wants,Shopping
beli jam tangan,wants,Shopping
minyak masak paket  midvalley,needs,Food & Beverage
beli pampers anak kl,needs,Others
tiket bas rapid  pavilion,needs,Transportation
home wifi bill  online,needs,Telecommunication
beli baju ghalit  bangsar for family,wants,Shopping
bil air syabas,needs,Financial Services
pizza hut deliver,wants,Food & Beverage
shopping sogo shah alam,wants,Shopping
ubat klinik  kedai runcit tomorrow,needs,Others
shopping mall toda,wants,Shopping
baskin robbns baru,wants,Food & Beverage
去旅行 (travel) jb,wants,Others
去云顶 (genting) lagi,wants,Entertainment
milk podwer baby,needs,Food & Beverage
hotel bookin,wants,Others
住酒店 (hotel),wants,Others
bubble tea craving damansara,wants,Food & Beverage
kredit elefon,needs,Telecommunication
pay digi bill,needs,Telecommunication
yuran tadika,needs,Others
car service centre  pavilion for family,needs,Transportation
mobile data plan,needs,Telecommunication
pay digi bill shah alam,needs,Telecommunication
பள்ளி கட்டணம் (school fee),needs,Others
home decor,wants,Others
zakat fitrah  online monhtly,needs,Financial Services
kredit telefon,needs,Telecommunication
gi pusing puisng,wants,Others
isi minyak motor rm50,needs,Transportation
看电影 (movie),wants,Entertainment
home wifi bill,needs,Telecommunication
nasi lemak biasa,needs,Food & Beverage
makan angin,wants,Food & Beverage
போன் பில் (phone bill) chras,needs,Telecommunication
வீட்டு வாடகை (veettu vaadagai) urgent,needs,Financial Services
give parents moey,needs,Financial Services
baski robbins baru,wants,Food & Beverage
minyak muto rm100,needs,Transportation
杂饭 (záfàn),needs,Food & Beverage
tukar tayar kereta urgent,needs,Transportation
இணையம் (internet),needs,Telecommunication
bayar sewa rumah cash,needs,Financial Services
pay digi bill rm50,needs,Telecommunication
data rload kl,needs,Telecommunication
netflix premium monthly,wants,Entertainment
bayar ptptn for family,needs,Financial Services
beli baju ghalit  kedai runcit,wants,Shopping
home decor,wants,Others
mekap watsons,wants,Shopping
insurans nyawa  bangsar,needs,Financial Services
ps5 games,wants,Shopping
langga netflix,wants,Entertainment
买手机 (buy phone) klang,wants,Shopping
reload prepaid,needs,Telecommunication
beli air boba,wants,Food & Beverage
学费 (xuéfèi),needs,Others
mdonalds set,wants,Food & Beverage
அரிசி (arisi)  pavilion for mom,needs,Food & Beverage
bayar bil celcom,needs,Telecommunication
fancy dinner klang,wants,Food & Beverage
data reloda,needs,Telecommunication
barang dapur basah,needs,Food & Beverage
上网费 (shàngwǎng fèi),needs,Telecommunication
reload prepiad damansara,needs,Telecommunication
tukar tayar kertea today,needs,Transportation
tudung duck  at mall monthly,wants,Shopping
langgan netflix,wants,Entertainment
topup tepon klang today,needs,Telecommunication
pay water bill cheras,needs,Financial Services
gi pusing pusing,wants,Others
போன் பில் (hone bill),needs,Telecommunication
bayar sewa ruah,needs,Financial Services
hotel mahal yesterday,wants,Others
tiket sunway lagoon damansar,wants,Entertainment
spa dan urut rm50,wants,Others
home wifi bill jb,needs,Telecommunication
买米 (mǎi mǐ) damansara,needs,Food & Beverage
bil internet  bangsar lagi,needs,Telecommunication
充值Touch n Go,needs,Transportation
充值 (top up),needs,Telecommunication
gym membershi,wants,Others
topup hotlink deposit,needs,Telecommunication
买菜 (mǎi cài),needs,Food & Beverage
grabfood delivery,wants,Food & Beverage
new gadget for mom,wants,Shopping
bil internet,needs,Telecommunication
pay insurance  bangsar,needs,Financial Services
gi pusing pusin rm100,wants,Others
ps5 games  bangsar deposit,wants,Shopping
bayra bil celcom  midvalley,needs,Telecommunication
看医生 (kàn yīshēng) shah alam,needs,Others
இணையம் (internet) rm100,needs,Telecommunication
makan tengahari nasi campur,needs,Food & Beverage
makan tengahari nasi campur lagi,needs,Food & Beverage
pay inusrance,needs,Financial Services
还车贷 (huán chēdài) rm50,needs,Financial Services
tambang lrt,needs,Transportation
genting highland trip  online,wants,Entertainment
mobile data plan tomorrow,needs,Telecommunication
yuran tadika,needs,Others
plumbing repair  at mall for mom,needs,Others
tiket bas rapid,needs,Transportation
ps5 game monthly,wants,Shopping
网购 (online shopping),wants,Shopping
bayar sewa rumah  at mall today,needs,Financial Services
shopee 11.11,wants,Shopping
买药 (mǎi yào),needs,Others
beli jam tagnan,wants,Shopping
stacation,wants,Others
bayar bil celcom  online for mom,needs,Telecommunication
bayar ptptn,needs,Financial Services
bil unif rumah,needs,Telecommunication
holiday trip monthly,wants,Others
付过路费 (tol),needs,Transportation
kasut nike baru penang deposit,wants,Shopping
bil air syabas,needs,Financial Services
yuran tadika,needs,Others
lunch econom rice cash,needs,Food & Beverage
yuran tadika,needs,Others
new sneakers,wants,Shopping
bayar keta,needs,Financial Services
karaoke,wants,Entertainment
beli pampers anak klang cash,needs,Others
网购 (online shopping) lagi,wants,Shopping
pregi bercuti langkawi jb,wants,Others
handag luxury for mom,wants,Shopping
நகை (jewellrey),wants,Shopping
yuran sekolah anak cheras monthly,needs,Others
toiletries,needs,Others
tuition fees,needs,Others
tukar phone baru,wants,Shopping
mekap watsons,wants,Shopping
holiday trip,wants,Others
barang dapur basa,needs,Food & Beverage
bayar api urgent,needs,Financial Services
nambang bas damansara rm100,needs,Transportation
beli baju raya,wants,Shopping
bil elektrik tnb  midvalley,needs,Financial Services
mobile data plan,needs,Telecommunication
beli sabun basuh  midvalley,needs,Others
பள்ளி கட்டணம் (school fee) cheras lagi,needs,Others
beg tangan coach klang,wants,Shopping
ps5 games damansar,wants,Shopping
diapers and milk,needs,Others
data reload for family,needs,Telecommunication
insurans nyawa,needs,Financial Services
mobile data plan,needs,Telecommunication
修车 (repair car),needs,Transportation
பள்ளி கட்டணம் (school fee) kl,needs,Others
tiket flight rm50,wants,Others
topup touch n go  pavilion,needs,Transportation
isi minyak kereta full,needs,Transportation
tiket bas rapi,needs,Transportation
学费 (xuéfèi) for mom,needs,Others
buy cooking oil,needs,Food & Beverage
starbucks coffee shah alam,wants,Food & Beverage
பிரியாணி (briyani specal),wants,Food & Beverage
make nasik berlauk today,needs,Food & Beverage
buble tea craving rm100,wants,Food & Beverage
pay car loan,needs,Financial Services
shopee 11.11  bangsa,wants,Shopping
அரிசி (arisi)  onilne tomorrow,needs,Food & Beverage
isi minyak kereta full cheras,needs,Transportation
bayar ptptn,needs,Financial Services
zakat fitrah,needs,Financial Services
买奶茶 (boba) for mom,wants,Food & Beverage
还车贷 (huán chēdài),needs,Financial Services
付房租 (fù fángzū),needs,Financial Services
学费 (xuéfèi),needs,Others
tapau nasi jb,needs,Food & Beverage
makan angin klang,wants,Others
lrt ticket monthly kl tomorrow,needs,Transportation
new agdget damansara,wants,Shopping
topup pubg jb,wants,Entertainment
buy groceries giant tomorrow,needs,Food & Beverage
gi pusng pusing for family,wants,Others
mekap watsons cash,wants,Shopping
bayar ptptn,needs,Financial Services
uniqlo haul,wants,Shopping
doctor visit now,needs,Others
mbayar aek today,needs,Financial Services
பெட்ரோல் (petrol)  at mall,needs,Transportation
topup pubg rm50,wants,Entertainment
tukar phone baru,wants,Shopping
கார் பழுது (car repair) today,needs,Transportation
makan angin for mom,wants,Others
gi pusing pusing  kedai runcit now,wants,Others
karaoke night  pavilion,wants,Entertainment
bayar hutang shah alam,needs,Financial Services
tambang lrt  midvalley,needs,Transportation
uniqlo haul shah alam,wants,Shopping
